query	runtime_s	answers	engine	benchmark	subset	querytype	requests
S43	0.364333152771	1	nLDE	WatDiv	General	S4	80
S44	0.376675844193	1	nLDE	WatDiv	General	S4	60
S45	0.369914054871	0	nLDE	WatDiv	General	S4	79
S51	0.197747945786	0	nLDE	WatDiv	General	S5	36
S52	0.559854984283	9	nLDE	WatDiv	General	S5	101
S53	0.221966981888	0	nLDE	WatDiv	General	S5	36
S54	0.561388969421	9	nLDE	WatDiv	General	S5	101
S55	0.520405054092	9	nLDE	WatDiv	General	S5	101
S61	0.09356689453119998	1	nLDE	WatDiv	General	S6	10
S62	0.08344912528989999	1	nLDE	WatDiv	General	S6	10
S63	0.08856391906739998	2	nLDE	WatDiv	General	S6	11
S64	0.0904490947723	1	nLDE	WatDiv	General	S6	10
S65	0.08236384391780001	2	nLDE	WatDiv	General	S6	11
S71	0.252321958542	5	nLDE	WatDiv	General	S7	19
S72	0.214590072632	2	nLDE	WatDiv	General	S7	18
S73	0.0804851055145	1	nLDE	WatDiv	General	S7	8
S74	0.418035030365	13	nLDE	WatDiv	General	S7	40
S75	0.305104017258	7	nLDE	WatDiv	General	S7	30
Q1	24.876565933200002	15	nLDE	nLDE	Movies	Q1	1881
Q2	0.739971160889	46	nLDE	nLDE	Movies	Q2	138
Q3	0.470486164093	49	nLDE	nLDE	Movies	Q3	110
Q4	0.487682104111	56	nLDE	nLDE	Movies	Q4	110
Q5	0.519720077515	87	nLDE	nLDE	Movies	Q5	110
