query	runtime_s	answers	engine	optimization_time_s	bc_cost_p_star	triple_pattern_count	robustness_threshold	cost_threshold	idp_k	idp_top_t	idp_adaptive_k	phi_shj	phi_nlj	delta	requests	execution_time_s	benchmark	subset
F24	1.62071704865	8	CROP	0.205254077911	1979.09004762	8	0.0	0.0	3	5	False	0.001	0.001	1.0	278	1.415462970739	WatDiv	General
F24	1.5816102027899999	8	CROP	0.20055603980999998	1979.09004762	8	0.0	0.0	3	5	False	0.001	0.001	1.0	278	1.38105416298	WatDiv	General
F25	2.14147877693	6	CROP	0.21402096748399999	2117.44804762	8	0.0	0.0	3	5	False	0.001	0.001	1.0	419	1.9274578094460002	WatDiv	General
F25	2.06602096558	6	CROP	0.202265977859	2117.44804762	8	0.0	0.0	3	5	False	0.001	0.001	1.0	419	1.863754987721	WatDiv	General
F25	2.19335198402	6	CROP	0.29000306129500003	2117.44804762	8	0.0	0.0	3	5	False	0.001	0.001	1.0	419	1.903348922725	WatDiv	General
F31	0.9969341754909999	26	CROP	0.0786800384521	1035.16966667	6	0.0	0.0	3	5	False	0.001	0.001	1.0	144	0.9182541370388999	WatDiv	General
F31	1.01340317726	26	CROP	0.0978200435638	1035.16966667	6	0.0	0.0	3	5	False	0.001	0.001	1.0	144	0.9155831336962	WatDiv	General
F31	0.9377381801610001	26	CROP	0.0774590969086	1035.16966667	6	0.0	0.0	3	5	False	0.001	0.001	1.0	144	0.8602790832524001	WatDiv	General
F32	0.940771818161	5	CROP	0.07639503479	718.2280000000001	6	0.0	0.0	3	5	False	0.001	0.001	1.0	138	0.864376783371	WatDiv	General
F32	0.8936769962309999	5	CROP	0.07456493377689999	718.2280000000001	6	0.0	0.0	3	5	False	0.001	0.001	1.0	138	0.8191120624541	WatDiv	General
F32	0.8640618324279999	5	CROP	0.080060005188	718.2280000000001	6	0.0	0.0	3	5	False	0.001	0.001	1.0	138	0.78400182724	WatDiv	General
F33	1.04529809952	26	CROP	0.108706951141	1035.16966667	6	0.0	0.0	3	5	False	0.001	0.001	1.0	144	0.936591148379	WatDiv	General
F33	1.0351238250700001	26	CROP	0.108422040939	1035.16966667	6	0.0	0.0	3	5	False	0.001	0.001	1.0	144	0.9267017841310001	WatDiv	General
F33	0.958987951279	26	CROP	0.0719430446625	1035.16966667	6	0.0	0.0	3	5	False	0.001	0.001	1.0	144	0.8870449066165	WatDiv	General
F34	0.93828701973	5	CROP	0.10612797737099999	718.2280000000001	6	0.0	0.0	3	5	False	0.001	0.001	1.0	138	0.832159042359	WatDiv	General
F34	0.837987184525	5	CROP	0.071604013443	718.2280000000001	6	0.0	0.0	3	5	False	0.001	0.001	1.0	138	0.7663831710819999	WatDiv	General
F34	0.924965143204	5	CROP	0.07061791419980001	718.2280000000001	6	0.0	0.0	3	5	False	0.001	0.001	1.0	138	0.8543472290042	WatDiv	General
F35	0.938865184784	5	CROP	0.0725719928741	723.128333333	6	0.0	0.0	3	5	False	0.001	0.001	1.0	146	0.8662931919099001	WatDiv	General
F35	0.8837370872499999	5	CROP	0.08473300933839999	723.128333333	6	0.0	0.0	3	5	False	0.001	0.001	1.0	146	0.7990040779115999	WatDiv	General
F35	0.93482208252	5	CROP	0.11200904846200001	723.128333333	6	0.0	0.0	3	5	False	0.001	0.001	1.0	146	0.822813034058	WatDiv	General
F41	2.2239458560900003	20	CROP	0.31216120719900003	740.412333333	9	0.0	0.0	3	5	False	0.001	0.001	1.0	430	1.9117846488910002	WatDiv	General
F41	2.18414211273	20	CROP	0.2600710392	740.412333333	9	0.0	0.0	3	5	False	0.001	0.001	1.0	430	1.92407107353	WatDiv	General
F41	2.28302121162	20	CROP	0.278683900833	740.412333333	9	0.0	0.0	3	5	False	0.001	0.001	1.0	430	2.004337310787	WatDiv	General
