query	runtime_s	answers	engine	optimization_time_s	bc_cost_p_star	ac_cost_p_star	triple_pattern_count	robustness_threshold	robustness_p_star	cost_threshold	cost_p_star_cost_r_star_ratio	r_star_selected	idp_k	idp_top_t	idp_adaptive_k	phi_shj	phi_nlj	delta	requests	execution_time_s	benchmark	subset
C11	13.1267180443	20	CROP	0.0822551250458	1250.701	1246.948	8	0.05	1.004992188928488	0.1	1.0	False	4	5	True	0.001	0.001	4.0	2359	13.044462919254201	WatDiv	General
C11	13.2529067993	20	CROP	0.12345790863	1250.701	1246.948	8	0.05	1.004992188928488	0.1	1.0	False	4	5	True	0.001	0.001	4.0	2359	13.12944889067	WatDiv	General
C11	13.199034929300002	20	CROP	0.112248897552	1250.701	1246.948	8	0.05	1.004992188928488	0.1	1.0	False	4	5	True	0.001	0.001	4.0	2359	13.086786031748002	WatDiv	General
C21	91.1970448494	2	CROP	0.171705007553	1359.2697380999998	7034.59992857143	10	0.05	0.13014363828325745	0.1	1.0	False	4	5	True	0.001	0.001	4.0	14123	91.025339841847	WatDiv	General
C21	90.555164814	2	CROP	0.14819097518899998	1359.2697380999998	7034.59992857143	10	0.05	0.13014363828325745	0.1	1.0	False	4	5	True	0.001	0.001	4.0	14123	90.406973838811	WatDiv	General
C21	90.7713561058	2	CROP	0.117257118225	1359.2697380999998	7034.59992857143	10	0.05	0.13014363828325745	0.1	1.0	False	4	5	True	0.001	0.001	4.0	14123	90.654098987575	WatDiv	General
C31	69.6309640408	417029	CROP	0.104458093643	10529.927	10529.927	6	0.05	1.0	0.1	0.217870643778	False	4	5	True	0.001	0.001	4.0	5807	69.52650594715699	WatDiv	General
C31	74.8569149971	417029	CROP	0.050894021987899996	10529.927	10529.927	6	0.05	1.0	0.1	0.217870643778	False	4	5	True	0.001	0.001	4.0	5807	74.8060209751121	WatDiv	General
C31	65.4818871021	417029	CROP	0.0963981151581	10529.927	10529.927	6	0.05	1.0	0.1	0.217870643778	False	4	5	True	0.001	0.001	4.0	5807	65.38548898694191	WatDiv	General
F11	0.913495063782	0	CROP	0.07351994514469999	378.7715	749.8802499999998	6	0.05	0.5228921551140999	0.1	0.245582285299	False	4	5	True	0.001	0.001	4.0	149	0.8399751186373	WatDiv	General
F11	0.840658903122	0	CROP	0.0488481521606	378.7715	749.8802499999998	6	0.05	0.5228921551140999	0.1	0.245582285299	False	4	5	True	0.001	0.001	4.0	149	0.7918107509614	WatDiv	General
F11	0.877083063126	0	CROP	0.050467967987099994	378.7715	749.8802499999998	6	0.05	0.5228921551140999	0.1	0.245582285299	False	4	5	True	0.001	0.001	4.0	149	0.8266150951389001	WatDiv	General
F12	1.67612814903	9	CROP	0.08195400238039999	308.762333333	316.1553333333333	6	0.05	0.9766159250832398	0.1	0.20351693984299998	False	4	5	True	0.001	0.001	4.0	249	1.5941741466496	WatDiv	General
F12	1.6322281360600002	9	CROP	0.048986911773699994	308.762333333	316.1553333333333	6	0.05	0.9766159250832398	0.1	0.20351693984299998	False	4	5	True	0.001	0.001	4.0	249	1.5832412242863	WatDiv	General
F12	1.6529831886300002	9	CROP	0.0515899658203	308.762333333	316.1553333333333	6	0.05	0.9766159250832398	0.1	0.20351693984299998	False	4	5	True	0.001	0.001	4.0	249	1.6013932228097	WatDiv	General
F13	1.58621382713	5	CROP	0.061016798019400006	308.19233333299997	314.1318333333333	6	0.05	0.98109233331441	0.1	0.203217581857	False	4	5	True	0.001	0.001	4.0	247	1.5251970291105998	WatDiv	General
F13	1.58012604713	5	CROP	0.045849084854100004	308.19233333299997	314.1318333333333	6	0.05	0.98109233331441	0.1	0.203217581857	False	4	5	True	0.001	0.001	4.0	247	1.5342769622759	WatDiv	General
F13	1.63938188553	5	CROP	0.048269987106300004	308.19233333299997	314.1318333333333	6	0.05	0.98109233331441	0.1	0.203217581857	False	4	5	True	0.001	0.001	4.0	247	1.5911118984237	WatDiv	General
F14	1.5976190567	4	CROP	0.045490980148300005	308.31233333299997	314.55783333333335	6	0.05	0.9801451455402744	0.1	0.20328062329	False	4	5	True	0.001	0.001	4.0	247	1.5521280765516998	WatDiv	General
F14	1.6140930652599998	4	CROP	0.055630207061800004	308.31233333299997	314.55783333333335	6	0.05	0.9801451455402744	0.1	0.20328062329	False	4	5	True	0.001	0.001	4.0	247	1.5584628581981999	WatDiv	General
F14	1.5945379734	4	CROP	0.0572299957275	308.31233333299997	314.55783333333335	6	0.05	0.9801451455402744	0.1	0.20328062329	False	4	5	True	0.001	0.001	4.0	247	1.5373079776725	WatDiv	General
F15	1.63622903824	9	CROP	0.0730500221252	308.762333333	316.1553333333333	6	0.05	0.9766159250832398	0.1	0.20351693984299998	False	4	5	True	0.001	0.001	4.0	249	1.5631790161148	WatDiv	General
F15	1.59334588051	9	CROP	0.048392057418800004	308.762333333	316.1553333333333	6	0.05	0.9766159250832398	0.1	0.20351693984299998	False	4	5	True	0.001	0.001	4.0	249	1.5449538230912	WatDiv	General
F15	1.5697650909399998	9	CROP	0.046699047088599996	308.762333333	316.1553333333333	6	0.05	0.9766159250832398	0.1	0.20351693984299998	False	4	5	True	0.001	0.001	4.0	249	1.5230660438513999	WatDiv	General
F21	0.846426963806	0	CROP	0.0879769325256	629.0914285709999	640.3694047619048	8	0.05	0.3653077116830861	0.1	0.160494080404	False	4	5	True	0.001	0.001	4.0	63	0.7584500312804	WatDiv	General
F21	1.02669382095	0	CROP	0.0928061008453	629.0914285709999	640.3694047619048	8	0.05	0.3653077116830861	0.1	0.160494080404	False	4	5	True	0.001	0.001	4.0	63	0.9338877201047	WatDiv	General
