query,runtime_s,optimization_time_s,execution_time_s,requests,answers,timeout_reached,bushy_plan,BJ_count,HJ_count,bc_cost_p_star,ac_cost_p_star,delta,idp_k,idp_top_t,r_star_selected,idp_adaptive_k,robustness_threshold,cost_threshold,dataset,benchmark,triple_pattern_count
F13,1.055286169052124,0.07524490356445312,0.9800412654876709,247,5,False,False,3,2,308.1923333333333,314.1318333333333,4.0,4,5,0,True,0.05,0.9,WatDiv,WatDiv,6
F13,1.1058528423309326,0.10153603553771973,1.004316806793213,247,5,False,False,3,2,308.1923333333333,314.1318333333333,4.0,4,5,0,True,0.1,0.1,WatDiv,WatDiv,6
F13,1.1170639991760254,0.11680912971496582,1.0002548694610596,247,5,False,False,3,2,308.1923333333333,314.1318333333333,4.0,4,5,0,True,0.1,0.3,WatDiv,WatDiv,6
F13,1.0672240257263184,0.07090997695922852,0.9963140487670898,247,5,False,False,3,2,308.1923333333333,314.1318333333333,4.0,4,5,0,True,0.1,0.5,WatDiv,WatDiv,6
F13,1.0729970932006836,0.09765505790710449,0.9753420352935791,247,5,False,False,3,2,308.1923333333333,314.1318333333333,4.0,4,5,0,True,0.1,0.7,WatDiv,WatDiv,6
F13,1.1004109382629395,0.0987858772277832,1.0016250610351562,247,5,False,False,3,2,308.1923333333333,314.1318333333333,4.0,4,5,0,True,0.1,0.9,WatDiv,WatDiv,6
F13,1.0343410968780518,0.06845712661743164,0.9658839702606201,247,5,False,False,3,2,308.1923333333333,314.1318333333333,4.0,4,5,0,True,0.15,0.1,WatDiv,WatDiv,6
F13,1.0624010562896729,0.07365894317626953,0.9887421131134033,247,5,False,False,3,2,308.1923333333333,314.1318333333333,4.0,4,5,0,True,0.15,0.3,WatDiv,WatDiv,6
F13,1.1241180896759033,0.0980830192565918,1.0260350704193115,247,5,False,False,3,2,308.1923333333333,314.1318333333333,4.0,4,5,0,True,0.15,0.5,WatDiv,WatDiv,6
F13,1.0564818382263184,0.06431984901428223,0.9921619892120361,247,5,False,False,3,2,308.1923333333333,314.1318333333333,4.0,4,5,0,True,0.15,0.7,WatDiv,WatDiv,6
F13,1.045954942703247,0.07916402816772461,0.9667909145355225,247,5,False,False,3,2,308.1923333333333,314.1318333333333,4.0,4,5,0,True,0.15,0.9,WatDiv,WatDiv,6
