query,runtime_s,requests,answers,switch_percentage_PHJ,switch_percentage_PBJ,timeout_reached,planner,bind_join_only,hash_join_only,poly_hash_join,poly_bind_join,dataset,benchmark
F14,3.578817844390869,822,4,0.0,0.0,False,nlde,False,,False,False,watdiv,WatDiv
F15,1.2244529724121094,193,9,0.0,0.3333333333333333,False,crop,False,,True,True,watdiv,WatDiv
F15,1.0749521255493164,165,9,0.0,0.0,False,ldp,False,,True,True,watdiv,WatDiv
F15,3.938231945037842,812,9,0.0,0.3333333333333333,False,nlde,False,,True,True,watdiv,WatDiv
F15,1.0324249267578125,249,9,0.0,0.0,False,crop,False,,True,False,watdiv,WatDiv
F15,1.0192480087280273,165,9,0.0,0.0,False,ldp,False,,True,False,watdiv,WatDiv
F15,3.8730251789093018,868,9,0.0,0.0,False,nlde,False,,True,False,watdiv,WatDiv
F15,1.2698640823364258,193,9,0.0,0.3333333333333333,False,crop,False,,False,True,watdiv,WatDiv
F15,1.2082569599151611,203,9,0.0,0.6,False,ldp nlj,True,,False,True,watdiv,WatDiv
F15,1.0716378688812256,165,9,0.0,0.0,False,ldp,False,,False,True,watdiv,WatDiv
F15,3.978562116622925,812,9,0.0,0.3333333333333333,False,nlde,False,,False,True,watdiv,WatDiv
F15,1.123931884765625,249,9,0.0,0.0,False,crop,False,,False,False,watdiv,WatDiv
F15,1.2972919940948486,453,9,0.0,0.0,False,ldp nlj,True,,False,False,watdiv,WatDiv
F15,1.0715100765228271,165,9,0.0,0.0,False,ldp,False,,False,False,watdiv,WatDiv
F15,3.9715898036956787,868,9,0.0,0.0,False,nlde,False,,False,False,watdiv,WatDiv
F21,0.8572239875793457,64,0,0.0,0.14285714285714285,False,crop,False,,True,True,watdiv,WatDiv
F21,0.4893660545349121,38,0,0.0,0.0,False,ldp,False,,True,True,watdiv,WatDiv
F21,0.930535078048706,140,0,0.0,0.0,False,nlde,False,,True,True,watdiv,WatDiv
F21,0.8255038261413574,63,0,0.0,0.0,False,crop,False,,True,False,watdiv,WatDiv
F21,0.48200011253356934,38,0,0.0,0.0,False,ldp,False,,True,False,watdiv,WatDiv
F21,0.9634299278259277,140,0,0.0,0.0,False,nlde,False,,True,False,watdiv,WatDiv
F21,0.920727014541626,64,0,0.0,0.14285714285714285,False,crop,False,,False,True,watdiv,WatDiv
F21,0.701775074005127,64,0,0.0,0.14285714285714285,False,ldp nlj,True,,False,True,watdiv,WatDiv
F21,0.520982027053833,38,0,0.0,0.0,False,ldp,False,,False,True,watdiv,WatDiv
