query	runtime_s	answers	engine	benchmark	subset	querytype	requests
S63	0.08950090408330001	2	CROP	WatDiv	General	S6	11
S64	0.0998868942261	1	CROP	WatDiv	General	S6	10
S65	0.111559867859	2	CROP	WatDiv	General	S6	11
S71	0.24121594429	5	CROP	WatDiv	General	S7	19
S72	0.27093100547800003	2	CROP	WatDiv	General	S7	18
S73	0.09756803512569999	1	CROP	WatDiv	General	S7	8
S74	0.44418096542400004	13	CROP	WatDiv	General	S7	40
S75	0.383856058121	7	CROP	WatDiv	General	S7	30
Q1	13.666985988599999	15	CROP	nLDE	Movies	Q1	2095
Q2	0.841814994812	46	CROP	nLDE	Movies	Q2	127
Q3	0.55178809166	49	CROP	nLDE	Movies	Q3	109
Q4	0.551527023315	56	CROP	nLDE	Movies	Q4	110
Q5	0.565502166748	87	CROP	nLDE	Movies	Q5	110
