approach	dief_t	dief_t_relative	t_max	t_min	test	dataset	rank
comunica	35321.504868639204	0.6557967653364534	30.4640519619	19.713	example/dbpedia2014/Music//Q5.rq	dbpedia	1.0
nLDE	3.5230314016341997	0.927113526745842	0.95	0.091964006424	example/dbpedia2014/Sports//Q1.rq	dbpedia	1.0
CROP	3.4955405473709	0.9198790914133947	0.95	0.091964006424	example/dbpedia2014/Sports//Q1.rq	dbpedia	2.0
comunica	0.09649999999999997	0.025394736842105258	0.95	0.091964006424	example/dbpedia2014/Sports//Q1.rq	dbpedia	3.0
nLDE	21.785127099037503	0.8817033794332808	2.059	0.470764875412	example/dbpedia2014/Sports//Q2.rq	dbpedia	1.0
CROP	21.376344020843003	0.8651588158022908	2.059	0.470764875412	example/dbpedia2014/Sports//Q2.rq	dbpedia	2.0
comunica	8.151500000000002	0.32991338837623446	2.059	0.470764875412	example/dbpedia2014/Sports//Q2.rq	dbpedia	3.0
nLDE	22.687228843689454	0.8889283302127361	1.8230000000000002	0.393271923065	example/dbpedia2014/Sports//Q3.rq	dbpedia	1.0
CROP	22.000238105773906	0.8620107399801702	1.8230000000000002	0.393271923065	example/dbpedia2014/Sports//Q3.rq	dbpedia	2.0
comunica	6.6270000000000024	0.2596583339863648	1.8230000000000002	0.393271923065	example/dbpedia2014/Sports//Q3.rq	dbpedia	3.0
nLDE	28.080853006363704	0.9022830475664707	1.6380000000000001	0.0829420089722	example/dbpedia2014/Sports//Q4.rq	dbpedia	2.0
CROP	29.691531321525403	0.9540367367625924	1.6380000000000001	0.0829420089722	example/dbpedia2014/Sports//Q4.rq	dbpedia	1.0
comunica	6.772500000000003	0.21761133603238872	1.6380000000000001	0.0829420089722	example/dbpedia2014/Sports//Q4.rq	dbpedia	3.0
nLDE	56.9451137304324	0.8667445012242374	1.825	0.25616312027	example/dbpedia2014/Sports//Q5.rq	dbpedia	2.0
CROP	60.2855374336248	0.9175880887918539	1.825	0.25616312027	example/dbpedia2014/Sports//Q5.rq	dbpedia	1.0
comunica	15.1785	0.23102739726027396	1.825	0.25616312027	example/dbpedia2014/Sports//Q5.rq	dbpedia	3.0
nLDE	3.7168781738278995	0.7996725847306153	1.162	0.194768190384	example/dbpedia2014/LifeScience//Q1.rq	dbpedia	2.0
CROP	3.878722188949	0.8344927256774957	1.162	0.194768190384	example/dbpedia2014/LifeScience//Q1.rq	dbpedia	1.0
comunica	0.2915	0.06271514629948365	1.162	0.194768190384	example/dbpedia2014/LifeScience//Q1.rq	dbpedia	3.0
nLDE	5.950458182335	0.7972210855218381	1.244	0.386244058609	example/dbpedia2014/LifeScience//Q2.rq	dbpedia	1.0
CROP	4.7135130300525	0.6314996020970659	1.244	0.386244058609	example/dbpedia2014/LifeScience//Q2.rq	dbpedia	2.0
comunica	0.8820000000000001	0.11816720257234728	1.244	0.386244058609	example/dbpedia2014/LifeScience//Q2.rq	dbpedia	3.0
nLDE	11.1018394346235	0.786694971274341	2.016	0.215087175369	example/dbpedia2014/LifeScience//Q3.rq	dbpedia	2.0
CROP	12.7284284944545	0.9019578014777848	2.016	0.215087175369	example/dbpedia2014/LifeScience//Q3.rq	dbpedia	1.0
comunica	2.55	0.18069727891156462	2.016	0.215087175369	example/dbpedia2014/LifeScience//Q3.rq	dbpedia	3.0
nLDE	8.6964651384351	0.896173241800814	1.213	0.201111078262	example/dbpedia2014/LifeScience//Q4.rq	dbpedia	1.0
CROP	7.019944433212001	0.7234072993829349	1.213	0.201111078262	example/dbpedia2014/LifeScience//Q4.rq	dbpedia	2.0
comunica	1.135000000000001	0.11696207749381707	1.213	0.201111078262	example/dbpedia2014/LifeScience//Q4.rq	dbpedia	3.0
nLDE	1146.8149047946947	0.9401200996792213	4.518	0.419858932495	example/dbpedia2014/LifeScience//Q5.rq	dbpedia	1.0
CROP	1144.4035471534762	0.9381433501823786	4.518	0.419858932495	example/dbpedia2014/LifeScience//Q5.rq	dbpedia	2.0
comunica	459.166	0.37640876821930386	4.518	0.419858932495	example/dbpedia2014/LifeScience//Q5.rq	dbpedia	3.0
nLDE	1.637502027511	0.8728688846007463	0.938	0.13290500640900002	example/dbpedia2014/Historical//Q1.rq	dbpedia	1.0
CROP	1.4726253280639998	0.7849815181577825	0.938	0.13290500640900002	example/dbpedia2014/Historical//Q1.rq	dbpedia	2.0
comunica	0.0030000000000000027	0.0015991471215351827	0.938	0.13290500640900002	example/dbpedia2014/Historical//Q1.rq	dbpedia	3.0
nLDE	3.8609226427080006	0.9093082060075366	2.123	0.240936994553	example/dbpedia2014/Historical//Q2.rq	dbpedia	1.0
CROP	3.7614086351390004	0.8858710869380594	2.123	0.240936994553	example/dbpedia2014/Historical//Q2.rq	dbpedia	2.0
comunica	1.4655000000000005	0.3451483749411211	2.123	0.240936994553	example/dbpedia2014/Historical//Q2.rq	dbpedia	3.0
nLDE	8.6375399494165	0.9247901444771413	2.335	0.277780056	example/dbpedia2014/Historical//Q3.rq	dbpedia	1.0
CROP	8.362142052650999	0.8953042882923982	2.335	0.277780056	example/dbpedia2014/Historical//Q3.rq	dbpedia	2.0
comunica	4.244	0.454389721627409	2.335	0.277780056	example/dbpedia2014/Historical//Q3.rq	dbpedia	3.0
nLDE	380.25215428352544	0.5998330324854881	3.7289999999999996	2.60550498962	example/dbpedia2014/Historical//Q4.rq	dbpedia	1.0
CROP	379.71434240820344	0.5989846551010418	3.7289999999999996	2.60550498962	example/dbpedia2014/Historical//Q4.rq	dbpedia	2.0
comunica	201.79999999999995	0.3183316769990377	3.7289999999999996	2.60550498962	example/dbpedia2014/Historical//Q4.rq	dbpedia	3.0
nLDE	186.67281159877498	0.7452901010052101	1.815	0.823893070221	example/dbpedia2014/Historical//Q5.rq	dbpedia	1.0
CROP	180.4079287958155	0.7202775933078432	1.815	0.823893070221	example/dbpedia2014/Historical//Q5.rq	dbpedia	2.0
comunica	51.706999999999994	0.2064398930011578	1.815	0.823893070221	example/dbpedia2014/Historical//Q5.rq	dbpedia	3.0
nLDE	391.63659282210006	0.7178353180506983	36.372	12.838459968599999	example/dbpedia2014/Movies//Q1.rq	dbpedia	2.0
CROP	444.11248989576507	0.8140190071039353	36.372	12.838459968599999	example/dbpedia2014/Movies//Q1.rq	dbpedia	1.0
comunica	259.767	0.4761299901022764	36.372	12.838459968599999	example/dbpedia2014/Movies//Q1.rq	dbpedia	3.0
nLDE	384.25622486114503	0.9476342816373895	8.815	0.7326779365539999	example/dbpedia2014/Movies//Q2.rq	dbpedia	1.0
CROP	382.122505655288	0.9423722056161387	8.815	0.7326779365539999	example/dbpedia2014/Movies//Q2.rq	dbpedia	2.0
comunica	0.0	0.0	8.815	0.7326779365539999	example/dbpedia2014/Movies//Q2.rq	dbpedia	3.0
nLDE	200.94181163120638	0.9369095952926774	4.377	0.467494010925	example/dbpedia2014/Movies//Q3.rq	dbpedia	1.0
CROP	195.080869386671	0.9095824154400368	4.377	0.467494010925	example/dbpedia2014/Movies//Q3.rq	dbpedia	2.0
comunica	72.8945	0.3398772805900976	4.377	0.467494010925	example/dbpedia2014/Movies//Q3.rq	dbpedia	3.0
nLDE	241.88881488513837	0.9396221716225582	4.5969999999999995	0.48387503624	example/dbpedia2014/Movies//Q4.rq	dbpedia	1.0
CROP	238.25165327262897	0.9254935411006752	4.5969999999999995	0.48387503624	example/dbpedia2014/Movies//Q4.rq	dbpedia	2.0
comunica	93.49099999999997	0.3631677491531744	4.5969999999999995	0.48387503624	example/dbpedia2014/Movies//Q4.rq	dbpedia	3.0
nLDE	350.835759279252	0.9257564128200817	4.356	0.505939006805	example/dbpedia2014/Movies//Q5.rq	dbpedia	1.0
CROP	345.5271944971105	0.911748610707679	4.356	0.505939006805	example/dbpedia2014/Movies//Q5.rq	dbpedia	2.0
comunica	119.86649999999997	0.3162938159019663	4.356	0.505939006805	example/dbpedia2014/Movies//Q5.rq	dbpedia	3.0
